,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
0,0.0,,,,[nan nan],[0.         9.84500473],
1,0.006289474781961547,,,,[nan nan],[0.02554179 9.8449244 ],
2,0.012578949563923095,,,,[nan nan],[0.05108258 9.84468344],
3,0.018868424345884642,,,,[nan nan],[0.07662134 9.84428184],
4,0.02515789912784619,,,,[nan nan],[0.10215707 9.84371963],
5,0.03144737390980774,,,,[nan nan],[0.12768876 9.84299682],
6,0.037736848691769284,,,,[nan nan],[0.1532154  9.84211345],
7,0.04402632347373083,,,,[nan nan],[0.17873598 9.84106955],
8,0.05031579825569238,,,,[nan nan],[0.20424949 9.83986515],
9,0.056605273037653926,,,,[nan nan],[0.22975492 9.83850032],
10,0.06289474781961547,,,,[nan nan],[0.25525126 9.8369751 ],
11,0.06918422260157703,,,,[nan nan],[0.28073751 9.83528955],
12,0.07547369738353857,,,,[nan nan],[0.30621264 9.83344374],
13,0.08176317216550011,,,,[nan nan],[0.33167567 9.83143774],
14,0.08805264694746166,,,,[nan nan],[0.35712557 9.82927163],
15,0.09434212172942322,,,,[nan nan],[0.38256135 9.8269455 ],
16,0.10063159651138476,,,,[nan nan],[0.407982   9.82445945],
17,0.1069210712933463,,,,[nan nan],[0.4333865  9.82181355],
18,0.11321054607530785,,,,[nan nan],[0.45877387 9.81900793],
19,0.1195000208572694,,,,[nan nan],[0.48414308 9.8160427 ],
20,0.12578949563923095,,,,[nan nan],[0.50949315 9.81291796],
21,0.1320789704211925,,,,[nan nan],[0.53482306 9.80963385],
22,0.13836844520315406,,,,[nan nan],[0.56013181 9.8061905 ],
23,0.1446579199851156,,,,[nan nan],[0.5854184  9.80258803],
24,0.15094739476707714,,,,[nan nan],[0.61068184 9.79882659],
25,0.15723686954903868,,,,[nan nan],[0.63592112 9.79490634],
26,0.16352634433100022,,,,[nan nan],[0.66113525 9.79082743],
27,0.16981581911296179,,,,[nan nan],[0.68632322 9.78659001],
28,0.17610529389492333,,,,[nan nan],[0.71148405 9.78219426],
29,0.18239476867688487,,,,[nan nan],[0.73661673 9.77764035],
30,0.18868424345884643,,,,[nan nan],[0.76172027 9.77292846],
31,0.19497371824080797,,,,[nan nan],[0.78679368 9.76805877],
32,0.20126319302276952,,,,[nan nan],[0.81183596 9.76303148],
33,0.20755266780473106,,,,[nan nan],[0.83684613 9.75784679],
34,0.2138421425866926,,,,[nan nan],[0.8618232  9.75250491],
35,0.22013161736865416,,,,[nan nan],[0.88676618 9.74700603],
36,0.2264210921506157,,,,[nan nan],[0.91167408 9.74135039],
37,0.23271056693257725,,,,[nan nan],[0.93654591 9.73553821],
38,0.2390000417145388,,,,[nan nan],[0.9613807  9.72956971],
39,0.24528951649650035,,,,[nan nan],[0.98617746 9.72344513],
40,0.2515789912784619,,,,[nan nan],[1.01093521 9.71716471],
41,0.25786846606042346,,,,[nan nan],[1.03565297 9.71072871],
42,0.264157940842385,,,,[nan nan],[1.06032976 9.70413737],
43,0.27044741562434654,,,,[nan nan],[1.0849646  9.69739096],
44,0.2767368904063081,,,,[nan nan],[1.10955653 9.69048975],
45,0.2830263651882696,,,,[nan nan],[1.13410457 9.683434  ],
46,0.2893158399702312,,,,[nan nan],[1.15860774 9.676224  ],
47,0.2956053147521927,,,,[nan nan],[1.18306509 9.66886003],
48,0.3018947895341543,,,,[nan nan],[1.20747563 9.66134238],
49,0.30818426431611584,,,,[nan nan],[1.23183841 9.65367135],
50,0.31447373909807735,,,,[nan nan],[1.25615246 9.64584725],
51,0.3207632138800389,,,,[nan nan],[1.28041682 9.63787038],
